Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePrice_log,TotalSF,HouseAge,RemodAge,TotalBathrooms
1,60,3,65.0,8450,1,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,4,3,2,4,3,3,2,706,6,0,150,856,1,5,1,5,856,854,0,1710,1,0,2,1,3,1,4,8,6,0,0,1,2003.0,2,2,548,3,3,2,0,61,0,0,0,0,0,4,1,0,2,2008,8,4,208500,12.24769911637256,2566,5,5,3.5
2,20,3,80.0,9600,1,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,2,0.0,3,3,1,4,3,1,0,978,6,0,284,1262,1,5,1,5,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,3,1,1976.0,2,2,460,3,3,2,298,0,0,0,0,0,0,4,1,0,5,2007,8,4,181500,12.109016442313738,2524,31,31,2.5
3,60,3,68.0,11250,1,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,4,3,2,4,3,2,2,486,6,0,434,920,1,5,1,5,920,866,0,1786,1,0,2,1,3,1,4,6,6,1,3,1,2001.0,2,2,608,3,3,2,0,42,0,0,0,0,0,4,1,0,9,2008,8,4,223500,12.317171167298682,2706,7,6,3.5
4,70,3,60.0,9550,1,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,2,0.0,3,3,0,3,4,3,0,216,6,0,540,756,1,4,1,5,961,756,0,1717,1,0,1,0,3,1,4,7,6,1,4,5,1998.0,3,3,642,3,3,2,0,35,272,0,0,0,0,4,1,0,2,2006,8,0,140000,11.849404844423074,2473,91,36,2.0
5,60,3,84.0,14260,1,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,4,3,2,4,3,0,2,655,6,0,490,1145,1,5,1,5,1145,1053,0,2198,1,0,2,1,4,1,4,9,6,1,3,1,2000.0,2,3,836,3,3,2,192,84,0,0,0,0,0,4,1,0,12,2008,8,4,250000,12.429220196836383,3343,8,8,3.5
6,50,3,85.0,14115,1,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,2,0.0,3,3,5,4,3,3,2,732,6,0,64,796,1,5,1,5,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,0,1,1993.0,3,2,480,3,3,2,40,30,0,320,0,0,0,2,3,700,10,2009,8,4,143000,11.870606902224587,2158,16,14,2.5
7,20,3,75.0,10084,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,3,186.0,4,3,2,5,3,0,2,1369,6,0,317,1686,1,5,1,5,1694,0,0,1694,1,0,2,0,3,1,4,7,6,1,4,1,2004.0,2,2,636,3,3,2,255,57,0,0,0,0,0,4,1,0,8,2007,8,4,307000,12.634606283893019,3380,3,2,3.0
8,60,3,0.0,10382,1,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,240.0,3,3,1,4,3,2,0,859,1,32,216,1107,1,5,1,5,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,3,1,1973.0,2,2,484,3,3,2,235,204,228,0,0,0,0,4,3,350,11,2009,8,4,200000,12.206077645517674,3197,36,36,3.5
9,50,4,51.0,6120,1,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,2,0.0,3,3,0,3,3,3,6,0,6,0,952,952,1,4,1,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,3,5,1931.0,3,2,468,2,3,2,90,0,205,0,0,0,0,4,1,0,4,2008,8,0,129900,11.774527900858468,2726,77,58,2.0
10,190,3,50.0,7420,1,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,2,0.0,3,3,0,3,3,3,2,851,6,0,140,991,1,5,1,5,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,3,1,1939.0,2,1,205,4,3,2,0,4,0,0,0,0,0,4,1,0,1,2008,8,4,118000,11.678448377988165,2068,69,58,2.0
11,20,3,70.0,11200,1,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,2,0.0,3,3,1,3,3,3,5,906,6,0,134,1040,1,5,1,5,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,0,5,1965.0,3,1,384,3,3,2,0,0,0,0,0,0,0,4,1,0,2,2008,8,4,129500,11.771443882099637,2080,43,43,2.0
12,60,3,85.0,11924,1,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,3,286.0,5,3,2,5,3,3,2,998,6,0,177,1175,1,5,1,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,6,2,4,3,2005.0,0,3,736,3,3,2,147,21,0,0,0,0,0,4,1,0,7,2006,6,5,345000,12.75130259456002,3499,1,0,4.0
13,20,3,0.0,12968,1,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,2,0.0,3,3,1,3,3,3,0,737,6,0,175,912,1,3,1,5,912,0,0,912,1,0,1,0,2,1,3,4,6,0,0,5,1962.0,3,1,352,3,3,2,140,0,0,0,176,0,0,4,1,0,9,2008,8,4,144000,11.87757552297847,1824,46,46,2.0
14,20,3,91.0,10652,1,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,3,306.0,4,3,2,4,3,0,6,0,6,0,1494,1494,1,5,1,5,1494,0,0,1494,0,0,2,0,3,1,4,7,6,1,4,1,2006.0,2,3,840,3,3,2,160,33,0,0,0,0,0,4,1,0,8,2007,6,5,279500,12.540761149388421,2988,1,0,2.0
15,20,3,0.0,10920,1,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,212.0,3,3,1,3,3,3,1,733,6,0,520,1253,1,3,1,5,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,2,1,1960.0,2,1,352,3,3,2,0,213,176,0,0,0,0,1,1,0,5,2008,8,4,157000,11.964007453736912,2506,48,48,2.5
16,45,4,51.0,6120,1,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,2,0.0,3,3,0,3,3,3,6,0,6,0,832,832,1,5,1,0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,0,5,1991.0,3,2,576,3,3,2,48,112,0,0,0,0,0,0,1,0,7,2007,8,4,132000,11.790564777297387,1686,78,6,1.0
17,20,3,0.0,11241,1,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,180.0,3,3,1,3,3,3,0,578,6,0,426,1004,1,5,1,5,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,3,1,1970.0,0,2,480,3,3,2,0,0,0,0,0,0,0,4,3,700,3,2010,8,4,149000,11.91170829631447,2008,40,40,2.0
18,90,3,72.0,10791,1,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,2,0.0,3,3,3,0,0,4,4,0,4,0,0,0,1,3,1,5,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,0,4,1967.0,3,2,516,3,3,2,0,0,0,0,0,0,0,4,3,500,10,2006,8,4,90000,11.407576060361786,1296,39,39,2.0
19,20,3,66.0,13695,1,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,2,0.0,3,3,2,3,3,3,2,646,6,0,468,1114,1,5,1,5,1114,0,0,1114,1,0,1,1,3,1,4,6,6,0,0,5,2004.0,3,2,576,3,3,2,0,102,0,0,0,0,0,4,1,0,6,2008,8,4,159000,11.976665770490767,2228,4,4,2.5
20,20,3,70.0,7560,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,2,0.0,3,3,1,3,3,3,3,504,6,0,525,1029,1,3,1,5,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,0,1,1958.0,3,1,294,3,3,2,0,0,0,0,0,0,0,2,1,0,5,2009,0,0,139000,11.842236406331555,2368,51,44,1.0
21,60,3,101.0,14215,1,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,4,3,2,5,3,0,6,0,6,0,1158,1158,1,5,1,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,6,1,4,3,2005.0,2,3,853,3,3,2,240,154,0,0,0,0,0,4,1,0,11,2006,6,5,325300,12.692506186542177,3534,1,0,3.5
22,45,4,57.0,7449,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,2,0.0,3,3,2,3,3,3,6,0,6,0,637,637,1,5,1,1,1108,0,0,1108,0,0,1,0,3,1,4,6,6,1,4,1,1930.0,3,1,280,3,3,0,0,0,205,0,0,0,0,0,1,0,6,2007,8,4,139400,11.845109950883979,1745,77,57,1.0
23,20,3,75.0,9742,1,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,4,3,2,4,3,3,6,0,6,0,1777,1777,1,5,1,5,1795,0,0,1795,0,0,2,0,3,1,4,7,6,1,4,1,2002.0,2,2,534,3,3,2,171,159,0,0,0,0,0,4,1,0,9,2008,8,4,230000,12.345838935721968,3572,6,6,2.0
24,120,4,44.0,4224,1,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,2,0.0,3,3,2,4,3,3,2,840,6,0,200,1040,1,3,1,5,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,3,1,1976.0,3,2,572,3,3,2,100,110,0,0,0,0,0,4,1,0,6,2007,8,4,129900,11.774527900858468,2100,31,31,2.0
25,20,3,0.0,8246,1,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,2,0.0,3,4,1,3,3,2,5,188,0,668,204,1060,1,5,1,5,1060,0,0,1060,1,0,1,0,3,1,4,6,6,1,3,1,1968.0,3,1,270,3,3,2,406,90,0,0,0,0,0,2,1,0,5,2010,8,4,154000,11.944714374881176,2120,42,9,2.0
26,20,3,110.0,14230,1,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,3,640.0,4,3,2,4,3,3,6,0,6,0,1566,1566,1,5,1,5,1600,0,0,1600,0,0,2,0,3,1,4,7,6,1,4,1,2007.0,2,3,890,3,3,2,0,56,0,0,0,0,0,4,1,0,7,2009,8,4,256300,12.454107814022272,3166,2,2,2.0
27,20,3,60.0,7200,1,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,2,0.0,3,3,1,3,3,2,1,234,5,486,180,900,1,3,1,5,900,0,0,900,0,1,1,0,3,1,4,5,6,0,0,5,2005.0,3,2,576,3,3,2,222,32,0,0,0,0,0,4,1,0,5,2010,8,4,134800,11.811554895830454,1800,59,10,1.5
28,20,3,98.0,11478,1,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,3,200.0,4,3,2,5,3,3,2,1218,6,0,486,1704,1,5,1,5,1704,0,0,1704,1,0,2,0,3,1,4,7,6,1,4,1,2008.0,2,3,772,3,3,2,0,50,0,0,0,0,0,4,1,0,5,2010,8,4,306000,12.631343648903034,3408,3,2,3.0
29,20,3,47.0,16321,1,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,2,0.0,3,3,1,3,3,1,1,1277,6,0,207,1484,1,3,1,5,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,4,1,1957.0,2,1,319,3,3,2,288,258,0,0,0,0,0,4,1,0,12,2006,8,4,207500,12.242891437918386,3084,49,9,2.0
30,30,4,60.0,6324,1,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,2,0.0,3,3,0,3,3,3,6,0,6,0,520,520,1,2,0,5,520,0,0,520,0,0,1,0,1,1,2,4,6,0,0,5,1920.0,3,1,240,2,3,2,49,0,87,0,0,0,0,4,1,0,5,2008,8,4,68500,11.134603622683905,1040,81,58,1.0
31,70,0,50.0,8500,1,2,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,2,0.0,3,2,0,3,3,3,6,0,6,0,649,649,1,3,0,5,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,0,5,1920.0,3,1,250,3,2,0,0,54,172,0,0,0,0,2,1,0,7,2008,8,4,40000,10.596659732783579,1966,88,58,1.0
32,20,3,0.0,8544,1,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,2,0.0,3,3,1,3,3,3,6,0,6,0,1228,1228,1,4,1,5,1228,0,0,1228,0,0,1,1,3,1,4,6,6,0,0,1,1966.0,3,1,271,3,3,2,0,65,0,0,0,0,0,2,1,0,6,2008,8,4,149350,11.914054519303125,2456,42,2,1.5
33,20,3,85.0,11049,1,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,0.0,4,3,2,5,3,0,6,0,6,0,1234,1234,1,5,1,5,1234,0,0,1234,0,0,2,0,3,1,4,7,6,0,0,1,2007.0,2,2,484,3,3,2,0,30,0,0,0,0,0,4,1,0,1,2008,8,4,179900,12.100161978566867,2468,1,1,2.0
34,20,3,70.0,10552,1,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,2,0.0,3,3,1,3,3,3,5,1018,6,0,380,1398,1,4,1,5,1700,0,0,1700,0,1,1,1,4,1,4,6,6,1,4,1,1959.0,2,2,447,3,3,2,0,38,0,0,0,0,0,4,1,0,4,2010,8,4,165500,12.016732516077072,3098,51,51,2.0
35,120,3,60.0,7313,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,5,3,2,5,3,3,2,1153,6,0,408,1561,1,5,1,5,1561,0,0,1561,1,0,2,0,2,1,5,6,6,1,4,1,2005.0,0,2,556,3,3,2,203,47,0,0,0,0,0,4,1,0,8,2007,8,4,277500,12.533579815765737,3122,2,2,3.0
